"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Possui Apoiador/Solicitante?";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2022";"Emenda Individual - Transferências Especiais";"4112 - LEDA SADALA";"0015";"Não se aplica";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS";"202241120015";"4.948.777,00";"3.534.838,50";"3.534.838,50";"1.413.938,50";"0,00";"1.413.938,50";
"2022";"Emenda Individual - Transferências Especiais";"4153 - JOSE MEDEIROS";"0006";"Não se aplica";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS";"202241530006";"4.963.682,00";"2.481.841,00";"2.481.841,00";"2.481.841,00";"0,00";"2.481.841,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"9032 - RUI FALCAO";"0011";"Não se aplica";"MÚLTIPLO";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202290320011";"4.976.981,00";"3.676.981,00";"3.676.981,00";"1.300.000,00";"0,00";"1.300.000,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3240 - GIOVANI FELTES";"0005";"Não se aplica";"MÚLTIPLO";"Saúde";"Atenção básica";"5019 - ATENCAO PRIMARIA A SAUDE";"2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202232400005";"4.977.133,00";"4.877.133,00";"4.877.133,00";"100.000,00";"0,00";"100.000,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"2468 - LIDICE DA MATA";"0011";"Não se aplica";"MÚLTIPLO";"Saúde";"Atenção básica";"5019 - ATENCAO PRIMARIA A SAUDE";"2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202224680011";"4.978.458,00";"4.613.302,00";"4.613.302,00";"365.156,00";"0,00";"365.156,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3942 - CHRIS TONIETTO";"0005";"Não se aplica";"MÚLTIPLO";"Assistência social";"Assistência comunitária";"5031 - PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";"202239420005";"4.981.319,00";"3.981.319,00";"3.981.319,00";"1.000.000,00";"0,00";"1.000.000,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3952 - DANIELA DO WAGUINHO";"0002";"Não se aplica";"MÚLTIPLO";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202239520002";"4.982.756,00";"4.982.756,00";"4.982.756,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4067 - SERGIO TOLEDO";"0002";"Não se aplica";"MÚLTIPLO";"Saúde";"Atenção básica";"5019 - ATENCAO PRIMARIA A SAUDE";"2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202240670002";"4.996.640,00";"4.996.640,00";"4.996.640,00";"0,00";"0,00";"0,00";
"2022";"Emenda de Bancada";"7123 - BANCADA DE RONDONIA";"0005";"Não se aplica";"MONTE NEGRO - RO";"Defesa nacional";"Assistência comunitária";"6011 - COOPERACAO COM O DESENVOLVIMENTO NACIONAL";"1211 - IMPLEMENTACAO DE INFRAESTRUTURA BASICA NOS MUNICIPIOS DA REGIAO DO CALHA NORTE";"IMPLEMENTACAO DE INFRAESTRUTURA BASICA NOS MUNICIPIOS DA REGIAO DO CALHA NORTE - DESPESAS DIVERSAS";"202271230005";"4.999.997,38";"199.997,38";"199.997,38";"4.800.000,00";"0,00";"4.800.000,00";
"2022";"Emenda Individual - Transferências Especiais";"4014 - GUTEMBERG REIS";"0001";"Não se aplica";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS";"202240140001";"5.000.000,00";"2.500.000,00";"2.500.000,00";"2.500.000,00";"0,00";"2.500.000,00";
"2022";"Emenda de Bancada";"7125 - BANCADA DE SAO PAULO";"0009";"Não se aplica";"SÃO PAULO - SP";"Segurança pública";"Policiamento";"5016 - SEGURANCA PUBLICA, COMBATE A CORRUPCAO, AO CRIME ORGANIZADO E AO CRIME VIOLENTO";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";"202271250009";"5.000.000,00";"0,00";"0,00";"8.928.300,00";"0,00";"1.071.700,00";
